,code,geocode,name,lat,lng,prov_id,tambon_name,amphoe_name,province_name,basin,name_e,tambon_name_e,amphoe_name_e,province_name_e,wl_offset,station_type,left_bank,right_bank,ground_level,rid_critical_level
323,YOM005,640501.0,ศรีสัชนาลัย,17.51729607,99.75863154,64.0,หาดเสี้ยว,ศรีสัชนาลัย,สุโขทัย,แม่น้ำยม,Yom 5,Hat Siao,Si Satchanalai,Sukhothai,0.0,W,72.281,72.496,57.0,
324,YOM006,640710.0,สวรรคโลก,17.20100959,99.86329341,64.0,ท่าทอง,สวรรคโลก,สุโขทัย,แม่น้ำยม,Yom 6,Tha Thong,Sawankhalok,Sukhothai,0.0,W,57.646,57.924,46.35,
325,YOM007,640401.0,กงไกรลาศ,16.92746736,99.9594586,64.0,กง,กงไกรลาศ,สุโขทัย,แม่น้ำยม,Yom 7,Kong,Kong Krailat,Sukhothai,0.0,W,45.05,44.966,34.09,
326,YOM008,650401.0,บางระกำ,16.7081376,100.1717824,65.0,บางระกำ,บางระกำ,พิษณุโลก,แม่น้ำยม,Yom 8,Bang Rakam,Bang Rakam,Phitsanulok,0.0,W,40.437,40.81,29.6,
327,YOM009,660301.0,โพธิ์ประทับช้าง,16.31081,100.27177,66.0,โพธิ์ประทับช้าง,โพธิ์ประทับช้าง,พิจิตร,แม่น้ำยม,Yom 9,Pho Prathap Chang,Pho Prathap Chang,Phichit,0.0,W,33.627,32.5,26.0,33.0
328,YOM010,540110.0,เมืองแพร่,18.13395,100.12508,54.0,ป่าแมต,เมืองแพร่,แพร่,แม่น้ำยม,Yom 10,Pa Maet,Mueang Phrae,Phrae,0.0,W,149.518,151.215,143.435,
329,YOM011,520502.0,งาว,18.76083,99.97244,52.0,หลวงใต้,งาว,ลำปาง,แม่น้ำยม,Yom 11,Luang Tai,Ngao,Lampang,0.0,W,270.07,270.61,268.19,
330,YOM012,640101.0,เมืองสุโขทัย,17.02139,99.81981,64.0,ธานี,เมืองสุโขทัย,สุโขทัย,แม่น้ำยม,Yom 12,Thani,Mueang Sukhothai,Sukhothai,0.0,W,51.49,51.49,38.817,
331,,,,,,,,,กระบี่,,,,,,,,,,86.46164426877469,
332,,,,,,,,,ภูเก็ต,,,,,,,,,,86.46164426877469,
