code,geocode,name,lat,lng,prov_id,tambon_name,amphoe_name,province_name,basin,name_e,tambon_name_e,amphoe_name_e,province_name_e,wl_offset,station_type,left_bank,right_bank,ground_level,rid_critical_level
NYK008,260109,สะพานเขานางบวช,14.24578,101.27438,26,ศรีนาวา,เมืองนครนายก,นครนายก,แม่น้ำบางปะกง,Khao Nang Buat Bridge,Si Nawa,Mueang Nakhon Nayok,Nakhon Nayok,0,W,,,,
NYK014,250603,สะพานโยธกา,13.974944,101.1430784,25,บางเตย,บ้านสร้าง,ปราจีนบุรี,แม่น้ำบางปะกง,Yothaka Bridge,Bang Toei,Ban Sang,Prachin Buri,0,W,,,,
PAI001,580104,เมืองแม่ฮ่องสอน,19.36708,97.96655,58,ปางหมู,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,แม่น้ำสาละวิน,Pai 1,Pang Mu,Mueang Mae Hong Son,Mae Hong Son,0,W,208.492,208.882,200.26,
PAI002,580302,ปาย,19.37391,98.43965,58,เวียงเหนือ,ปาย,แม่ฮ่องสอน,แม่น้ำสาละวิน,Pai 2,Wian Nuea,Pai,Mae Hong Son,0,W,506.531,506.657,499.607,
PAS001,670301,หล่มสัก,16.78158,101.246569,67,หล่มสัก,หล่มสัก,เพชรบูรณ์,แม่น้ำป่าสัก,Pa Sak 1,Lom Sak,Lom Sak,Phetchabun,0,W,143.642,143.672,138.46,
PAS002,670104,เมืองเพชรบูรณ์,16.44798,101.1702,67,สะเดียง,เมืองเพชรบูรณ์,เพชรบูรณ์,แม่น้ำป่าสัก,Pa Sak 2,Sadiang,Mueang Phetchabun,Phetchabun,0,W,115.896,115.958,109.95,
PAS003,670702,หนองไผ่,16.11507,101.09705,67,นาเฉลียง,หนองไผ่,เพชรบูรณ์,แม่น้ำป่าสัก,Pa Sak 3,Na Chaliang,Nong Phai,Phetchabun,0,W,93.567,94.169,87.62,
PAS004,670501,วิเชียรบุรี,15.6558576,101.100768,67,ท่าโรง,วิเชียรบุรี,เพชรบูรณ์,แม่น้ำป่าสัก,Pa Sak 4,Tha Rong,Wichian Buri,Phetchabun,0,W,67.77,67.378,56.941,
PAS005,160417,ชัยบาดาล,15.263862,101.192375,16,นิคมลำนารายณ์,ชัยบาดาล,ลพบุรี,แม่น้ำป่าสัก,Pa Sak 5,Nikhon Lam Narai,Chai Badan,Lop Buri,0,W,46.973,43.256,34.02,
PAS006,191201,วังม่วง,14.74093,101.05972,19,แสลงพัน,วังม่วง,สระบุรี,แม่น้ำป่าสัก,Pa Sak 6,Saleang Phan,Wang Muang,Saraburi,0,W,24.838,21.173,9.56,
PAS007,190101,เมืองสระบุรี,14.557736,100.923809,19,ปากเพรียว,เมืองสระบุรี,สระบุรี,แม่น้ำป่าสัก,Pa Sak 7,Pak Phriao,Mueang Saraburi,Saraburi,0,W,11.224,14.417,-0.25,
PAS008,140201,ท่าเรือ,14.5601888,100.7198464,14,ท่าเรือ,ท่าเรือ,พระนครศรีอยุธยา,แม่น้ำป่าสัก,Pa Sak 8,Tha Ruea,Tha Ruea,Phra Nakhon Si Ayutthaya,0,W,8.789,6.72,-4.17,
PAS009,140303,นครหลวง,14.403124,100.586504,14,บ่อโพง,นครหลวง,พระนครศรีอยุธยา,แม่น้ำป่าสัก,Pa Sak 9,Bo Phong,Nakhon Luang,Phra Nakhon Si Ayutthaya,0,W,4.405,3.877,-6.03,
PAT001,950301,บันนังสตา,6.262164271,101.2682331,95,บันนังสตา,บันนังสตา,ยะลา,แม่น้ำปัตตานี,Patthani 1,Bannang Sata,Bannang Sata,Yala,0,W,,,,
PAT002,950118,เมืองยะลา,6.675272721,101.2864094,95,ตาเซะ,เมืองยะลา,ยะลา,แม่น้ำปัตตานี,Patthani 2,Tase,Mueang Yala,Yala,0,W,13.85,13.85,1.74,
PCH001,760112,เมืองเพชรบุรี,13.085558,99.943699,76,ต้นมะม่วง,เมืองเพชรบุรี,เพชรบุรี,แม่น้ำเพชรบุรี,Petch Buri 1,Ton Mamuang,Mueang Phetchaburi,Phetchaburi,0,W,6.096,7.391,-0.353,
